2333
   1    15  1.2294926054936136e+02
   1    43  9.8713458778566888e+01
   1   102  5.9605336606471838e+01
   1   126  1.3890268889853238e+02
   1   141  9.7261101231923689e+01
   1   282  1.5027499457550138e+02
   1   308  1.4323706607728721e+02
   1   421  7.8042016746665837e+01
   1   458  1.0217893827603544e+02
   2     9  1.6036449277312693e+02
   2    13  1.0294256348737593e+02
   2   114  1.2335844030352798e+02
   2   132  8.1991451520318734e+01
   2   141  1.0802134723962622e+02
   2   158  8.4033963500257229e+01
   2   167  8.7230244612244149e+01
   2   276  2.9565425955462551e+01
   2   391  3.0014972680165773e+01
   3    35  6.2250609917110182e+01
   3   101  8.0211031762323174e+01
   3   115  1.4628426270016297e+02
   3   186  1.1517030345178625e+02
   3   228  7.7245130222508081e+01
   3   241  9.6847872218811958e+01
   3   265  9.0289464136523335e+01
   3   408  2.9302200871884560e+02
   3   461  1.5593591680875400e+02
   4    57  1.6144863987579393e+02
   4    85  1.3005674373534964e+02
   4   215  1.4563651796184467e+02
   4   225  1.4315167690639058e+02
   4   359  1.7218420076811603e+02
   4   386  1.7284077496512873e+02
   4   434  1.3777901606632039e+02
   4   470  2.0455343970599444e+01
   5    59  1.3420578338791020e+02
   5    90  1.2907835103770054e+02
   5   257  1.0161210063374443e+02
   5   286  5.9549938908630082e+01
   5   403  1.3825693063283512e+02
   5   412  1.3403055686363723e+02
   5   433  5.6794600360918523e+01
   5   480  1.2331203326665808e+02
   6    32  1.4088810617713585e+02
   6    92  1.0500450844282440e+02
   6   136  7.7126513005341849e+01
   6   146  1.4589038262723400e+02
   6   175  1.4428076919558879e+02
   6   236  1.3590360791012873e+02
   6   244  1.8923710946762995e+02
   6   304  5.5116759920646032e+01
   6   369  1.1836317738385092e+02
   6   402  1.0264879193623221e+02
   6   460  2.0637591894001352e+02
   6   475  8.9523250465930658e+01
   7    72  5.2006985302000110e+01
   7   103  6.8552206574343899e+01
   7   107  1.2553276427785725e+02
   7   129  1.0498727936479943e+02
   7   171  8.8926023053184949e+01
   7   211  1.7166524839540858e+02
   7   214  1.5316054120075734e+02
   7   345  5.2641697560085305e+01
   7   437  2.2666831592458188e+01
   7   457  9.2073621390100499e+01
   7   474  2.3071052321812068e+01
   8    83  1.3831040101657592e+02
   8   104  1.0861748834848244e+02
   8   142  1.5357830001971524e+02
   8   144  9.1260514873221936e+01
   8   198  7.2413616990811690e+01
   8   330  1.6234441994433695e+02
   8   347  9.8420533019743658e+01
   8   417  8.5800587926422580e+01
   8   478  1.3631657689094541e+02
   9    13  1.2884721129680048e+02
   9    75  9.9273520085679976e+01
   9   114  8.8339029805452483e+01
   9   158  1.2144262915625725e+02
   9   245  9.4770728367883038e+01
   9   251  4.8123822296724583e+01
   9   276  1.4238233249955940e+02
  10    12  1.9641870269345279e+01
  10    95  1.0001421797434510e+02
  10   122  1.0682740735366603e+02
  10   154  4.1038061112567796e+01
  10   167  1.5553288144186456e+02
  10   168  1.7620690400562093e+01
  10   350  4.8652058914320712e+01
  10   368  1.1904257354907998e+02
  11    91  1.6489954315492815e+02
  11    96  1.1352167023341447e+02
